parameter	meanVal	distribution	stdev	upper	lower
Scenario	TEXAS	na	na	na	na
Age distribution	TEXAS	na	na	na	na
Population size	29472295	na	na	na	na
Initial number of cases	1	na	na	na	na
Imports per day	0.1	na	na	na	na
Hospital beds available	67786	na	na	na	na
ICU beds available	2260	na	na	na	na
Confirmed cases	TEXAS	na	na	na	na
Simulation start date	2/25/2020	na	na	na	na
Simulation end date	8/30/2020	na	na	na	na
Number of Runs	10	na	na	na	na
Ro	3.1	even	na	3.2	3
Latency	4	normal	0.5	3	3
Infectious period	3.5	normal	0.5	3	3
Seasonal forcing	0	na	na	na	na
Seasonal peak	January	na	na	na	na
Days in hospital	9.5	normal	0.5	na	na
Days in icu	11.6	normal	0.5	na	na
Severity of ICU overflow	1	na	na	na	na
