Intervention	InterventionOrder	Dist	MeanRelativePropReduction	Stdev	LowerTransmissionReduction	UpperTransmissionReduction	DateBegin	DateEnd
School Closure	First	Even	29.81262169		29.81262169	29.81262169	3/20/2020	6/3/2020
Self Isolation	Later	Even	8.446798762		8.446798762	8.446798762	3/20/2020	6/3/2020
Social Distancing	Later	Even	12.63807124		12.63807124	12.63807124	3/20/2020	4/9/2020
Stay-at-Home	Later	Even	65.87802085		65.87802085	65.87802085	3/29/2020	4/9/2020
Public Events	Later	Even	13.65582408		13.65582408	13.65582408	3/29/2020	4/9/2020
Social Distancing	Later	Even	5.019356317		5.019356317	5.019356317	4/9/2020	6/3/2020
Stay-at-Home	Later	Even	36.86336044		36.86336044	36.86336044	4/9/2020	4/28/2020
Public Events	Later	Even	5.510479899		5.510479899	5.510479899	4/9/2020	4/28/2020
Stay-at-Home	Later	Even	13.13917077		13.13917077	13.13917077	4/28/2020	6/3/2020
X-factor	Later	Even	46.9		46.9	46.9	5/2/2020	5/22/2020
Rt3	Later	Even	3.225806452		3.225806452	3.225806452	6/3/2020	6/26/2020
Rt1.5	Later	Even	51.61290323		51.61290323	51.61290323	6/26/2020	7/3/2020
Rt1	Later	Even	67.74193548		67.74193548	67.74193548	7/3/2020	7/10/2020
Rt0.5	Later	Even	83.87096774		83.87096774	83.87096774	7/10/2020	9/1/2020
