parameter	meanVal	distribution	stdev	upper	lower
Scenario	TSA-U	na	na	na	na
Age distribution	TSA-U	na	na	na	na
Population size	595870	na	na	na	na
Initial number of cases	12	na	na	na	na
Imports per day	0.1	na	na	na	na
Hospital beds available	10000	na	na	na	na
ICU beds available	10000	na	na	na	na
Confirmed cases	TSA-U	na	na	na	na
Simulation start date	3/7/2020	na	na	na	na
Simulation end date	9/1/2020	na	na	na	na
Number of Runs	10	na	na	na	na
Ro	3.1	even	na	3.2	3
Latency	4	normal	0.5	5.1	3
Infectious period	3.5	normal	0.5	5.5	1.4
Seasonal forcing	0	na	na	na	na
Seasonal peak	January	na	na	na	na
Days in hospital	9.5	normal	0.5	na	na
Days in icu	11.6	normal	0.5	na	na
Severity of ICU overflow	1	na	na	na	na
