tsa	age	total
TEXAS	0-9	4064462
TEXAS	10-19	4124801
TEXAS	20-29	4199337
TEXAS	30-39	4018531
TEXAS	40-49	3676118
TEXAS	50-59	3441939
TEXAS	60-69	2780292
TEXAS	70-79	1582422
TEXAS	80+	814341
TSA-A	0-9	60424
TSA-A	10-19	61414
TSA-A	20-29	59994
TSA-A	30-39	57981
TSA-A	40-49	51083
TSA-A	50-59	50861
TSA-A	60-69	45480
TSA-A	70-79	27027
TSA-A	80+	16807
TSA-B	0-9	68635
TSA-B	10-19	76149
TSA-B	20-29	87488
TSA-B	30-39	65052
TSA-B	40-49	52063
TSA-B	50-59	53193
TSA-B	60-69	46685
TSA-B	70-79	29236
TSA-B	80+	18755
TSA-C	0-9	28303
TSA-C	10-19	28174
TSA-C	20-29	32351
TSA-C	30-39	27795
TSA-C	40-49	23722
TSA-C	50-59	27647
TSA-C	60-69	26269
TSA-C	70-79	17025
TSA-C	80+	10658
TSA-D	0-9	38170
TSA-D	10-19	40808
TSA-D	20-29	43129
TSA-D	30-39	39345
TSA-D	40-49	33077
TSA-D	50-59	36313
TSA-D	60-69	34712
TSA-D	70-79	24055
TSA-D	80+	14922
TSA-E	0-9	1085210
TSA-E	10-19	1144884
TSA-E	20-29	1109909
TSA-E	30-39	1087687
TSA-E	40-49	1062956
TSA-E	50-59	1001361
TSA-E	60-69	741682
TSA-E	70-79	404750
TSA-E	80+	194276
TSA-F	0-9	34612
TSA-F	10-19	35640
TSA-F	20-29	35315
TSA-F	30-39	33963
TSA-F	40-49	33051
TSA-F	50-59	35466
TSA-F	60-69	33835
TSA-F	70-79	24307
TSA-F	80+	12948
TSA-G	0-9	122736
TSA-G	10-19	125932
TSA-G	20-29	122070
TSA-G	30-39	121226
TSA-G	40-49	113461
TSA-G	50-59	122227
TSA-G	60-69	117419
TSA-G	70-79	79914
TSA-G	80+	43450
TSA-H	0-9	34640
TSA-H	10-19	36154
TSA-H	20-29	39237
TSA-H	30-39	31911
TSA-H	40-49	30709
TSA-H	50-59	35199
TSA-H	60-69	35061
TSA-H	70-79	23134
TSA-H	80+	11986
TSA-I	0-9	139319
TSA-I	10-19	123784
TSA-I	20-29	129982
TSA-I	30-39	114696
TSA-I	40-49	101211
TSA-I	50-59	96101
TSA-I	60-69	79411
TSA-I	70-79	46218
TSA-I	80+	27674
TSA-J	0-9	75328
TSA-J	10-19	69236
TSA-J	20-29	76107
TSA-J	30-39	72474
TSA-J	40-49	54015
TSA-J	50-59	51103
TSA-J	60-69	41114
TSA-J	70-79	21807
TSA-J	80+	13792
TSA-K	0-9	21500
TSA-K	10-19	22267
TSA-K	20-29	25455
TSA-K	30-39	21844
TSA-K	40-49	17644
TSA-K	50-59	19742
TSA-K	60-69	19477
TSA-K	70-79	13191
TSA-K	80+	8165
TSA-L	0-9	77858
TSA-L	10-19	71766
TSA-L	20-29	82854
TSA-L	30-39	70840
TSA-L	40-49	56195
TSA-L	50-59	49912
TSA-L	60-69	40528
TSA-L	70-79	24788
TSA-L	80+	12885
TSA-M	0-9	47430
TSA-M	10-19	52245
TSA-M	20-29	50638
TSA-M	30-39	44255
TSA-M	40-49	37748
TSA-M	50-59	41096
TSA-M	60-69	38803
TSA-M	70-79	25031
TSA-M	80+	14174
TSA-N	0-9	43595
TSA-N	10-19	55419
TSA-N	20-29	76403
TSA-N	30-39	45462
TSA-N	40-49	36655
TSA-N	50-59	36136
TSA-N	60-69	33161
TSA-N	70-79	20741
TSA-N	80+	11504
TSA-O	0-9	299194
TSA-O	10-19	303284
TSA-O	20-29	335514
TSA-O	30-39	364719
TSA-O	40-49	327334
TSA-O	50-59	274724
TSA-O	60-69	218476
TSA-O	70-79	114929
TSA-O	80+	55980
TSA-P	0-9	399002
TSA-P	10-19	393991
TSA-P	20-29	427235
TSA-P	30-39	387578
TSA-P	40-49	341461
TSA-P	50-59	330988
TSA-P	60-69	280549
TSA-P	70-79	169424
TSA-P	80+	90855
TSA-Q	0-9	930588
TSA-Q	10-19	914660
TSA-Q	20-29	917821
TSA-Q	30-39	942190
TSA-Q	40-49	843772
TSA-Q	50-59	751430
TSA-Q	60-69	584823
TSA-Q	70-79	296328
TSA-Q	80+	137760
TSA-R	0-9	171474
TSA-R	10-19	175183
TSA-R	20-29	174090
TSA-R	30-39	174736
TSA-R	40-49	164335
TSA-R	50-59	166489
TSA-R	60-69	141475
TSA-R	70-79	79408
TSA-R	80+	41195
TSA-S	0-9	23269
TSA-S	10-19	23545
TSA-S	20-29	24659
TSA-S	30-39	22948
TSA-S	40-49	19438
TSA-S	50-59	21577
TSA-S	60-69	20895
TSA-S	70-79	13649
TSA-S	80+	8219
TSA-T	0-9	50165
TSA-T	10-19	52095
TSA-T	20-29	48130
TSA-T	30-39	38546
TSA-T	40-49	37845
TSA-T	50-59	30969
TSA-T	60-69	22434
TSA-T	70-79	13109
TSA-T	80+	6797
TSA-U	0-9	83131
TSA-U	10-19	81587
TSA-U	20-29	89365
TSA-U	30-39	79988
TSA-U	40-49	67639
TSA-U	50-59	69304
TSA-U	60-69	63417
TSA-U	70-79	39855
TSA-U	80+	21584
TSA-V	0-9	229879
TSA-V	10-19	236584
TSA-V	20-29	211591
TSA-V	30-39	173295
TSA-V	40-49	170704
TSA-V	50-59	140101
TSA-V	60-69	114586
TSA-V	70-79	74496
TSA-V	80+	39955
